available_actions,ball_zone,best_action_estimate,counter_estimate,formation_a,formation_b,game_state,numerical_state,opponent_response_estimate,opponent_shape_b,outcome_estimate,pressure_level,scenario_id,source_class,space_value_estimate,style_a,style_b,team_shape_a
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z7,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-2-2-2,0-1,even,double_team,4-2-2-2_mid_block,turnover,low,SC00081,F,0.61,gegenpressing,possession_football,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z3,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,5-3-2,2-0,defender_plus_1,step_up_together,5-3-2_mid_block,possession_reset,low,SC00082,F,0.33,high_press,counterattacking,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z8,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,3-5-2,chase_goal,even,hand_over_marking,3-5-2_mid_block,possession_reset,medium,SC00083,F,0.55,low_block,tiki_taka,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z8,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,5-3-2,0-1,defender_plus_1,press_immediately,5-3-2_mid_block,progression,medium,SC00084,F,0.38,counterattacking,possession_football,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,3-5-2,2-1,defender_plus_1,shift_across,3-5-2_mid_block,shot_created,medium,SC00085,F,0.52,tiki_taka,direct_football,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,3-1-4-2,must_win,defender_plus_1,step_up_together,3-1-4-2_mid_block,possession_reset,medium,SC00086,F,0.17,high_press,positional_play,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-3-3,2-1,attacker_plus_1,hand_over_marking,4-3-3_low_block,possession_reset,low,SC00087,F,0.43,total_football,high_press,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-3-1,0-0,defender_plus_1,step_up_together,4-2-3-1_mid_block,progression,high,SC00088,F,0.25,high_press,direct_football,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-3-3,chase_goal,even,hold_shape,4-3-3_mid_block,progression,medium,SC00089,F,0.86,tiki_taka,gegenpressing,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z22,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-2-3-1,1-2,attacker_plus_1,drop_off,4-2-3-1_mid_block,shot_created,low,SC00090,F,0.71,possession_football,wing_play,3-1-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z19,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-3-3,0-2,even,hold_shape,4-3-3_mid_block,progression,high,SC00091,F,0.64,possession_football,total_football,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z7,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-4-3,2-1,attacker_plus_1,shift_across,3-4-3_mid_block,shot_created,high,SC00092,F,0.12,high_press,total_football,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-4-3,2-1,even,press_immediately,3-4-3_mid_block,turnover,medium,SC00093,F,0.11,possession_football,gegenpressing,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-5-2,chase_goal,defender_plus_1,hold_shape,3-5-2_low_block,possession_reset,medium,SC00094,F,0.4,direct_football,possession_football,4-1-4-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-3-1,0-0,attacker_plus_1,recover_goal_side,4-2-3-1_mid_block,progression,low,SC00095,F,0.36,possession_football,direct_football,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-5-2,0-2,even,double_team,3-5-2_low_block,progression,low,SC00096,F,0.65,gegenpressing,wing_play,4-3-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z7,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,5-3-2,must_win,defender_plus_1,hand_over_marking,5-3-2_mid_block,possession_reset,low,SC00097,F,0.39,counterattacking,positional_play,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z3,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-4-3,1-0,even,drop_off,3-4-3_mid_block,possession_reset,medium,SC00098,F,0.11,total_football,counterattacking,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,5-3-2,2-0,attacker_plus_1,hold_shape,5-3-2_mid_block,turnover,high,SC00099,F,0.9,tiki_taka,wing_play,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z4,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,5-3-2,0-0,attacker_plus_1,hand_over_marking,5-3-2_mid_block,turnover,low,SC00100,F,0.4,tiki_taka,gegenpressing,3-5-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z9,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-5-2,protect_lead,attacker_plus_1,recover_goal_side,3-5-2_mid_block,shot_created,high,SC00101,F,0.3,possession_football,total_football,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z19,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-4-2_diamond,2-1,attacker_plus_1,recover_goal_side,4-4-2_diamond_mid_block,shot_created,low,SC00102,F,0.12,wing_play,high_press,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-2-3-1,0-2,defender_plus_1,double_team,4-2-3-1_low_block,shot_created,medium,SC00103,F,0.48,wing_play,counterattacking,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-4-2,protect_lead,defender_plus_1,step_up_together,4-4-2_low_block,turnover,low,SC00104,F,0.28,positional_play,possession_football,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z8,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-3-3,1-0,attacker_plus_1,double_team,4-3-3_mid_block,possession_reset,high,SC00105,F,0.54,gegenpressing,tiki_taka,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2_diamond,0-2,attacker_plus_1,hold_shape,4-4-2_diamond_low_block,turnover,low,SC00106,F,0.14,wing_play,high_press,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z1,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-4-2,0-1,attacker_plus_1,step_up_together,4-4-2_mid_block,progression,medium,SC00107,F,0.75,low_block,positional_play,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z21,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2,chase_goal,attacker_plus_1,hand_over_marking,4-4-2_low_block,progression,high,SC00108,F,0.73,possession_football,low_block,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-3-3,1-0,even,double_team,4-3-3_low_block,possession_reset,low,SC00109,F,0.34,low_block,high_press,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,5-3-2,chase_goal,even,hold_shape,5-3-2_mid_block,progression,medium,SC00110,F,0.33,high_press,counterattacking,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z7,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,5-3-2,1-2,defender_plus_1,double_team,5-3-2_mid_block,possession_reset,high,SC00111,F,0.25,positional_play,high_press,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,5-3-2,protect_lead,defender_plus_1,drop_off,5-3-2_mid_block,progression,high,SC00112,F,0.43,gegenpressing,high_press,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z12,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-1-4-1,must_win,attacker_plus_1,shift_across,4-1-4-1_mid_block,turnover,low,SC00113,F,0.64,counterattacking,tiki_taka,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-4-2_diamond,0-0,even,shift_across,4-4-2_diamond_mid_block,turnover,medium,SC00114,F,0.65,low_block,gegenpressing,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z27,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-4-2,1-0,even,hold_shape,4-4-2_mid_block,turnover,low,SC00115,F,0.88,wing_play,positional_play,4-1-4-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,3-1-4-2,protect_lead,attacker_plus_1,shift_across,3-1-4-2_low_block,turnover,low,SC00116,F,0.47,direct_football,gegenpressing,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-4-3,must_win,defender_plus_1,shift_across,3-4-3_mid_block,progression,low,SC00117,F,0.82,possession_football,counterattacking,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z8,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-2-3-1,2-0,even,recover_goal_side,4-2-3-1_mid_block,progression,low,SC00118,F,0.85,direct_football,wing_play,3-5-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z8,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-2-2-2,0-1,even,drop_off,4-2-2-2_mid_block,turnover,low,SC00119,F,0.5,positional_play,total_football,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z28,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-4-3,protect_lead,attacker_plus_1,shift_across,3-4-3_low_block,progression,low,SC00120,F,0.19,counterattacking,positional_play,4-3-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-1-4-1,0-2,attacker_plus_1,shift_across,4-1-4-1_mid_block,possession_reset,high,SC00121,F,0.79,counterattacking,positional_play,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z9,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-3-3,protect_lead,defender_plus_1,hand_over_marking,4-3-3_mid_block,shot_created,low,SC00122,F,0.15,tiki_taka,counterattacking,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-3-3,0-2,attacker_plus_1,shift_across,4-3-3_low_block,progression,low,SC00123,F,0.66,direct_football,low_block,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-4-2_diamond,protect_lead,attacker_plus_1,hand_over_marking,4-4-2_diamond_low_block,shot_created,medium,SC00124,F,0.67,wing_play,total_football,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-1-4-2,0-1,defender_plus_1,recover_goal_side,3-1-4-2_low_block,possession_reset,high,SC00125,F,0.59,high_press,possession_football,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-3-3,0-2,attacker_plus_1,shift_across,4-3-3_low_block,shot_created,high,SC00126,F,0.67,direct_football,positional_play,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-4-2,must_win,attacker_plus_1,hold_shape,4-4-2_low_block,possession_reset,low,SC00127,F,0.47,possession_football,tiki_taka,4-1-4-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-2-2-2,1-0,attacker_plus_1,hold_shape,4-2-2-2_low_block,turnover,medium,SC00128,F,0.68,high_press,counterattacking,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-4-2,1-2,even,double_team,4-4-2_mid_block,progression,low,SC00129,F,0.55,total_football,low_block,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z11,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,5-3-2,2-1,defender_plus_1,double_team,5-3-2_low_block,progression,medium,SC00130,F,0.83,direct_football,high_press,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z1,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-4-3,0-0,even,double_team,3-4-3_mid_block,shot_created,high,SC00131,F,0.78,total_football,high_press,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z11,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,3-4-3,protect_lead,attacker_plus_1,double_team,3-4-3_low_block,progression,high,SC00132,F,0.42,gegenpressing,counterattacking,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,5-3-2,2-1,attacker_plus_1,recover_goal_side,5-3-2_mid_block,progression,low,SC00133,F,0.89,tiki_taka,direct_football,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-2-3-1,1-0,even,drop_off,4-2-3-1_mid_block,turnover,medium,SC00134,F,0.22,low_block,wing_play,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z1,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-1-4-2,chase_goal,even,shift_across,3-1-4-2_low_block,turnover,high,SC00135,F,0.62,counterattacking,tiki_taka,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z30,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-5-2,protect_lead,even,hold_shape,3-5-2_low_block,turnover,low,SC00136,F,0.27,tiki_taka,wing_play,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z15,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-2-3-1,chase_goal,even,double_team,4-2-3-1_low_block,turnover,low,SC00137,F,0.83,counterattacking,positional_play,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z24,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-3-1,chase_goal,even,hand_over_marking,4-2-3-1_mid_block,turnover,high,SC00138,F,0.23,positional_play,counterattacking,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z11,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-1-4-2,0-2,defender_plus_1,recover_goal_side,3-1-4-2_mid_block,turnover,high,SC00139,F,0.79,positional_play,possession_football,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-3-3,0-1,defender_plus_1,press_immediately,4-3-3_mid_block,turnover,high,SC00140,F,0.58,high_press,tiki_taka,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-4-2,chase_goal,defender_plus_1,hold_shape,4-4-2_low_block,possession_reset,high,SC00141,F,0.6,total_football,direct_football,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-1-4-1,protect_lead,even,step_up_together,4-1-4-1_low_block,progression,medium,SC00142,F,0.78,gegenpressing,positional_play,3-1-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,3-1-4-2,must_win,even,hold_shape,3-1-4-2_mid_block,progression,medium,SC00143,F,0.11,total_football,high_press,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z28,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-1-4-2,0-1,attacker_plus_1,press_immediately,3-1-4-2_mid_block,turnover,medium,SC00144,F,0.27,tiki_taka,gegenpressing,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z9,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-5-2,0-0,attacker_plus_1,hand_over_marking,3-5-2_low_block,turnover,low,SC00145,F,0.44,gegenpressing,direct_football,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-3-3,protect_lead,even,recover_goal_side,4-3-3_mid_block,possession_reset,low,SC00146,F,0.45,counterattacking,direct_football,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-3-3,chase_goal,defender_plus_1,press_immediately,4-3-3_low_block,progression,high,SC00147,F,0.33,gegenpressing,wing_play,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-2-2-2,1-2,even,hand_over_marking,4-2-2-2_mid_block,progression,medium,SC00148,F,0.52,wing_play,positional_play,4-1-4-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2,must_win,even,hand_over_marking,4-4-2_low_block,progression,high,SC00149,F,0.87,direct_football,tiki_taka,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z28,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-1-4-1,1-0,attacker_plus_1,recover_goal_side,4-1-4-1_low_block,shot_created,low,SC00150,F,0.52,direct_football,possession_football,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z22,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-3-3,0-2,attacker_plus_1,drop_off,4-3-3_mid_block,shot_created,low,SC00151,F,0.86,low_block,high_press,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-2-2-2,chase_goal,defender_plus_1,drop_off,4-2-2-2_low_block,possession_reset,low,SC00152,F,0.21,counterattacking,wing_play,3-1-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-4-2,must_win,even,recover_goal_side,4-4-2_mid_block,progression,medium,SC00153,F,0.51,direct_football,high_press,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z24,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-4-2_diamond,0-1,even,recover_goal_side,4-4-2_diamond_mid_block,progression,medium,SC00154,F,0.89,gegenpressing,direct_football,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-1-4-1,protect_lead,attacker_plus_1,double_team,4-1-4-1_mid_block,shot_created,high,SC00155,F,0.42,wing_play,positional_play,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z3,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-1-4-2,2-1,attacker_plus_1,step_up_together,3-1-4-2_mid_block,turnover,high,SC00156,F,0.19,total_football,wing_play,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z3,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2_diamond,protect_lead,even,drop_off,4-4-2_diamond_low_block,progression,high,SC00157,F,0.49,wing_play,direct_football,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-4-2,protect_lead,attacker_plus_1,hold_shape,4-4-2_mid_block,turnover,low,SC00158,F,0.88,positional_play,total_football,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-1-4-1,2-0,even,hold_shape,4-1-4-1_mid_block,possession_reset,low,SC00159,F,0.21,tiki_taka,counterattacking,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-4-2_diamond,1-2,even,recover_goal_side,4-4-2_diamond_mid_block,turnover,low,SC00160,F,0.87,counterattacking,gegenpressing,4-1-4-1_defensive_shape
