action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
trigger_coordinated_press,deep_lying_forward,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the weak foot receiver moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00019,C,Z7,weak_foot_receiver
trigger_coordinated_press,mezzala,PRESSING,ball_in_Z1,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00020,C,Z1,aerial_duel_contested
trigger_coordinated_press,target_man,PRESSING,ball_in_Z2,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the second ball loose moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00021,C,Z2,second_ball_loose
trigger_coordinated_press,anchor_man,PRESSING,ball_in_Z14,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the poor body orientation moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00022,C,Z14,poor_body_orientation
trigger_coordinated_press,inverted_fb,PRESSING,ball_in_Z22,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the second ball loose moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00023,C,Z22,second_ball_loose
trigger_coordinated_press,complete_forward,PRESSING,ball_in_Z29,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the cb possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00024,C,Z29,cb_possession
trigger_coordinated_press,deep_lying_forward,PRESSING,ball_in_Z12,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00025,C,Z12,slow_pass
trigger_coordinated_press,false_fb,PRESSING,ball_in_Z10,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the fb possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00026,C,Z10,fb_possession
trigger_coordinated_press,destroyer,PRESSING,ball_in_Z14,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00027,C,Z14,long_pass_in_flight
trigger_coordinated_press,false_fb,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the second ball loose moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00028,C,Z7,second_ball_loose
trigger_coordinated_press,aggressive_gk,PRESSING,ball_in_Z13,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the poor body orientation moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00029,C,Z13,poor_body_orientation
trigger_coordinated_press,destroyer,PRESSING,ball_in_Z24,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the midfielder receiving moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00030,C,Z24,midfielder_receiving
trigger_coordinated_press,full_back,PRESSING,ball_in_Z9,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00031,C,Z9,aerial_duel_contested
trigger_coordinated_press,inverted_winger,PRESSING,ball_in_Z11,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the cb possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00032,C,Z11,cb_possession
trigger_coordinated_press,full_back,PRESSING,ball_in_Z29,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the midfielder receiving moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00033,C,Z29,midfielder_receiving
trigger_coordinated_press,wide_playmaker,PRESSING,ball_in_Z13,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the gk possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00034,C,Z13,gk_possession
trigger_coordinated_press,stopper,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the midfielder receiving moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00035,C,Z7,midfielder_receiving
trigger_coordinated_press,carrilero,PRESSING,ball_in_Z3,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the bad first touch moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00036,C,Z3,bad_first_touch
trigger_coordinated_press,full_back,PRESSING,ball_in_Z22,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the bad first touch moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00037,C,Z22,bad_first_touch
trigger_coordinated_press,target_man,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the receiver facing own goal moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00038,C,Z7,receiver_facing_own_goal
trigger_coordinated_press,defensive_winger,PRESSING,ball_in_Z21,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the midfielder receiving moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00039,C,Z21,midfielder_receiving
trigger_coordinated_press,full_back,PRESSING,ball_in_Z10,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the back pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00040,C,Z10,back_pass
trigger_coordinated_press,number_10,PRESSING,ball_in_Z21,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00041,C,Z21,slow_pass
trigger_coordinated_press,regista,PRESSING,ball_in_Z30,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the weak foot receiver moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00042,C,Z30,weak_foot_receiver
trigger_coordinated_press,complete_wing_back,PRESSING,ball_in_Z15,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the poor body orientation moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00043,C,Z15,poor_body_orientation
trigger_coordinated_press,target_man,PRESSING,ball_in_Z29,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the isolated player moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00044,C,Z29,isolated_player
trigger_coordinated_press,deep_lying_forward,PRESSING,ball_in_Z16,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00045,C,Z16,aerial_duel_contested
trigger_coordinated_press,complete_wing_back,PRESSING,ball_in_Z20,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the weak foot receiver moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00046,C,Z20,weak_foot_receiver
trigger_coordinated_press,deep_playmaker,PRESSING,ball_in_Z1,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the isolated player moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00047,C,Z1,isolated_player
trigger_coordinated_press,advanced_forward,PRESSING,ball_in_Z5,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the sideline reception moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00048,C,Z5,sideline_reception
trigger_coordinated_press,poacher,PRESSING,ball_in_Z23,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the poor body orientation moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00049,C,Z23,poor_body_orientation
trigger_coordinated_press,target_man,PRESSING,ball_in_Z29,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the receiver facing own goal moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00050,C,Z29,receiver_facing_own_goal
trigger_coordinated_press,sweeper_keeper,PRESSING,ball_in_Z10,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the gk possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00051,C,Z10,gk_possession
trigger_coordinated_press,wide_target_man,PRESSING,ball_in_Z18,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the isolated player moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00052,C,Z18,isolated_player
trigger_coordinated_press,false_nine,PRESSING,ball_in_Z17,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the back pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00053,C,Z17,back_pass
trigger_coordinated_press,trequartista,PRESSING,ball_in_Z8,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00054,C,Z8,long_pass_in_flight
trigger_coordinated_press,aggressive_gk,PRESSING,ball_in_Z2,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00055,C,Z2,long_pass_in_flight
trigger_coordinated_press,wing_back,PRESSING,ball_in_Z6,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the bad first touch moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00056,C,Z6,bad_first_touch
trigger_coordinated_press,attacking_fb,PRESSING,ball_in_Z18,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the midfielder receiving moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00057,C,Z18,midfielder_receiving
trigger_coordinated_press,regista,PRESSING,ball_in_Z12,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the loose pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00058,C,Z12,loose_pass
trigger_coordinated_press,complete_wing_back,PRESSING,ball_in_Z13,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the weak foot receiver moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00059,C,Z13,weak_foot_receiver
trigger_coordinated_press,regista,PRESSING,ball_in_Z2,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the poor body orientation moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00060,C,Z2,poor_body_orientation
trigger_coordinated_press,deep_playmaker,PRESSING,ball_in_Z5,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the back pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00061,C,Z5,back_pass
trigger_coordinated_press,half_back,PRESSING,ball_in_Z2,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the poor body orientation moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00062,C,Z2,poor_body_orientation
trigger_coordinated_press,defensive_winger,PRESSING,ball_in_Z2,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the loose pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00063,C,Z2,loose_pass
trigger_coordinated_press,poacher,PRESSING,ball_in_Z1,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the back pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00064,C,Z1,back_pass
trigger_coordinated_press,ball_playing_gk,PRESSING,ball_in_Z20,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00065,C,Z20,slow_pass
trigger_coordinated_press,defensive_winger,PRESSING,ball_in_Z4,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00066,C,Z4,slow_pass
trigger_coordinated_press,attacking_fb,PRESSING,ball_in_Z16,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the gk possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00067,C,Z16,gk_possession
trigger_coordinated_press,anchor_man,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00068,C,Z7,long_pass_in_flight
trigger_coordinated_press,false_nine,PRESSING,ball_in_Z30,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the isolated player moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00069,C,Z30,isolated_player
trigger_coordinated_press,false_nine,PRESSING,ball_in_Z20,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00070,C,Z20,long_pass_in_flight
trigger_coordinated_press,ball_playing_cb,PRESSING,ball_in_Z2,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the gk possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00071,C,Z2,gk_possession
trigger_coordinated_press,ball_playing_gk,PRESSING,ball_in_Z18,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the loose pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00072,C,Z18,loose_pass
trigger_coordinated_press,sweeper_keeper,PRESSING,ball_in_Z18,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00073,C,Z18,slow_pass
trigger_coordinated_press,complete_forward,PRESSING,ball_in_Z6,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00074,C,Z6,long_pass_in_flight
trigger_coordinated_press,destroyer,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the receiver facing own goal moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00075,C,Z7,receiver_facing_own_goal
trigger_coordinated_press,raumdeuter,PRESSING,ball_in_Z20,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the sideline reception moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00076,C,Z20,sideline_reception
trigger_coordinated_press,segundo_volante,PRESSING,ball_in_Z13,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the bad first touch moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00077,C,Z13,bad_first_touch
trigger_coordinated_press,inverted_fb,PRESSING,ball_in_Z3,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00078,C,Z3,aerial_duel_contested
trigger_coordinated_press,wide_target_man,PRESSING,ball_in_Z17,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00079,C,Z17,long_pass_in_flight
trigger_coordinated_press,segundo_volante,PRESSING,ball_in_Z5,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the fb possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00080,C,Z5,fb_possession
trigger_coordinated_press,target_man,PRESSING,ball_in_Z1,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the cb possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00081,C,Z1,cb_possession
trigger_coordinated_press,traditional_winger,PRESSING,ball_in_Z21,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the back pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00082,C,Z21,back_pass
trigger_coordinated_press,shot_stopper,PRESSING,ball_in_Z1,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the loose pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00083,C,Z1,loose_pass
trigger_coordinated_press,false_fb,PRESSING,ball_in_Z10,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the loose pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00084,C,Z10,loose_pass
trigger_coordinated_press,complete_wing_back,PRESSING,ball_in_Z9,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00085,C,Z9,slow_pass
trigger_coordinated_press,advanced_forward,PRESSING,ball_in_Z21,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the weak foot receiver moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00086,C,Z21,weak_foot_receiver
trigger_coordinated_press,attacking_fb,PRESSING,ball_in_Z8,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the loose pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00087,C,Z8,loose_pass
trigger_coordinated_press,wing_back,PRESSING,ball_in_Z11,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the midfielder receiving moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00088,C,Z11,midfielder_receiving
trigger_coordinated_press,sweeper_keeper,PRESSING,ball_in_Z13,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00089,C,Z13,aerial_duel_contested
trigger_coordinated_press,inverted_fb,PRESSING,ball_in_Z29,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the receiver facing own goal moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00090,C,Z29,receiver_facing_own_goal
trigger_coordinated_press,complete_wing_back,PRESSING,ball_in_Z10,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the gk possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00091,C,Z10,gk_possession
trigger_coordinated_press,wide_target_man,PRESSING,ball_in_Z17,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the bad first touch moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00092,C,Z17,bad_first_touch
trigger_coordinated_press,wide_playmaker,PRESSING,ball_in_Z28,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the weak foot receiver moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00093,C,Z28,weak_foot_receiver
trigger_coordinated_press,box_to_box,PRESSING,ball_in_Z16,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00094,C,Z16,slow_pass
trigger_coordinated_press,number_10,PRESSING,ball_in_Z11,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the weak foot receiver moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00095,C,Z11,weak_foot_receiver
trigger_coordinated_press,sweeper_keeper,PRESSING,ball_in_Z23,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the bad first touch moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00096,C,Z23,bad_first_touch
trigger_coordinated_press,mezzala,PRESSING,ball_in_Z11,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00097,C,Z11,long_pass_in_flight
trigger_coordinated_press,segundo_volante,PRESSING,ball_in_Z12,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00098,C,Z12,aerial_duel_contested
trigger_coordinated_press,regista,PRESSING,ball_in_Z23,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00099,C,Z23,aerial_duel_contested
trigger_coordinated_press,false_fb,PRESSING,ball_in_Z19,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00100,C,Z19,aerial_duel_contested
trigger_coordinated_press,ball_winning_midfielder,PRESSING,ball_in_Z8,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the isolated player moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00101,C,Z8,isolated_player
